Title,Company,Job Type,Location,Link
Recruitment Specialist,EL KHETA -,Freelance / ProjectOn-site,"San Stefano, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EL-KHETA-Egypt-57444
Asp.Net Core / Dot Net Back-end Developer - Internship,Alexandria For Programming -,InternshipRemote,"Bolkly, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alexandria-for-programming-Egypt-6203
UI Designer,Sourcya -,Full TimeHybrid,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sourcya-Egypt-119490
Quality Assurance– Speech Analytics & AI,Quantanite -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Quantanite-South Africa-124144
Web Administrator,Confidential -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8ir0WsElY1Yp-Web-Administrator-Cairo-Egypt
Customer Service Team Leader,AssureNet -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-102139
Recruitment Specialist,Quantanite -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Quantanite-South Africa-124144
Customer Service Associate - German Speaker,Quantanite -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Quantanite-South Africa-124144
Customer Service Associate - French Speaker,Quantanite -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Quantanite-South Africa-124144
Graphic Designer,Confidential -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/fEpEmXIqGdAj-Graphic-Designer-Cairo-Egypt
Manufacturing Junior HR Business Partner,EGIC -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/EGIC-10893
Site Manager,GTCI Constructors  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GTCI-Constructors-Egypt-65993
HR Coordinator ( Personnel and Payroll ),Mersal  -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mersal-Egypt-45113
IT OS & Data Base Expert,Wadi Group -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Wadi-Group-Egypt-7062
Unreal Developer,Creative Motion -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Creative-Motion-Egypt-18862
Warehouse Specialist,IRON MOUNTAIN -,Freelance / ProjectShift BasedOn-site,"Alsadat City, Monufya, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Infofort-Egypt-10707
E-Commerce Sales Manager,Pixal lab -,Full TimeRemote,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Pixal lab-Egypt-125593
Procurement specialist ( IT & Software ),Egyptian Company for Cosmetics -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Egyptian-For-Cosmetics-Egypt-11636
Accountant,Khales -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Khales-Egypt-52822
Stock Controller - Costing,SAVOLA -,Full TimeOn-site,"Minya, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alexandria-Sugar-Company-Egypt-2383
Executive Secretary,microtech -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/microtech-Egypt-125281
Sales Engineer,microtech -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/microtech-Egypt-125281
RAMS Engineers,COLAS RAIL Egypt -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/COLAS-RAIL-Egypt-Egypt-31734
SR. Outbound Hotel Reservation Agent (Africa Focus),BCD-EWT   -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/East West Travel-Egypt-89589
Stock Controller,SAVOLA -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alexandria-Sugar-Company-Egypt-2383
Administrative Assistant,EVIVVA HOLDING -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-107310
HR Talent Management specialist,Suez Canal container Terminal -,Full TimeOn-site,"Port Fuad, Port Said, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Suez-Canal-container-Terminal-Egypt-11123
System Engineer,Efada Technology -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085
General Manager company & Hotel,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Jq1Yrg4GHpil-General-Manager-company-Hotel-Cairo-Egypt
Business Planning Manager,Wadi Group -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Wadi-Group-Egypt-7062
Showroom Sales Representative - Cairo & Alex,American Mattress -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-23938
Solar Site Engineer,IRSC -,Full TimeOn-site,"Mokattam, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IRSC-Egypt-24980
Financial Manager,Confidential -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/XVEiIESHE33T-Financial-Manager-Cairo-Egypt
Export Specialist,EVIVVA HOLDING -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-107310
CEO Personal Assistant,Tiger Med For Medical Agencies -,Full TimeHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Tiger-Med-For-Medical-Agencies-Egypt-14885
Legal Affairs Specialist,Confidential -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xaHohkQJOTWm-Legal-Affairs-Specialist-Giza-Egypt
Accountant,Master United -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/فاروس للتجارة والتوريدات-Egypt-125633
Legal Manager,Suez Canal container Terminal -,Full TimeOn-site,"Port Fuad, Port Said, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Suez-Canal-container-Terminal-Egypt-11123
Sales Specialist,Procrew -,Full TimeHybrid,"Jeddah, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Procrew-Egypt-48518
CO - Teacher,Egypt Education Platform -,Full TimeOn-site,"Hurghada, Red Sea, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339
Mechanical Engineer,Mazloum -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mazloum-Real-Estate-Egypt-85128
Collection Specialist,Orouba Misr -,Full TimeOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Orouba-Misr-Egypt-33391
Special Need Science Therapist,Confidential -,Full TimeOn-site,"Frankfurt am Main, Germany",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/YQNFRx57aXuB-Special-Need-Science-Therapist-Frankfurt-am-Main-Germany
Pre Sales Engineer,ECCC -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ECCC-Egypt-125652
Structural Engineer,Integrated Façade Solution -,Full TimeOn-site,"Heliopolis, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Alicoegypt-Egypt-22753
Motion Graphics Designer,Creative Motion -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Creative-Motion-Egypt-18862
Data Entry,engineering tracks -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/engineering-tracks-Egypt-50528
Medium Voltage Design Engineer,Smart Group -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Smart-Power-Egypt-9483
Senior Full Stack PHP Laravel Developer (Remote - Full Time),HIGHBASE TRADING W.L.L -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HIGHBASE TRADING W.L.L-Egypt-112707
Project Manager- Owner Representative,Capital Link Developments -,Full TimeOn-site,"New Capital, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Progate-Egypt-16414
Senior Social Media Specialist,Mobilcom -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mobilcom-Egypt-107006
Customer Account Manager,ECRAL -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Fahd-Auto-Group-Egypt-27596
Human Resources Generalist,Confidential -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7ODeGcZY5Jo7-Human-Resources-Generalist-Giza-Egypt
Pharmacist Assistant,Al Ahly Medical Company -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459
English Instructor - Maadi - Nasr City - Downtown - 6th of October- 5th Settlement (Charters),Berlitz Egypt -,Full TimePart TimeShift BasedHybrid,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Berlitz-Egypt-Egypt-37549
Supply Chain Manager,Kandil Industries -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Mekano-Egypt-109872
Sales Representative,Confidential -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OcAwgrHXWHRW-Sales-Representative-Cairo-Egypt
Senior Accountant,AssureNet -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-102139
Talent Acquisition Specialist,Carofi -,Full TimeHybrid,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Carofi-Egypt-107712
Procurement manager,GlassRock Insulation Co. -,Full TimeOn-site,"Alsadat City, Monufya, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GlassRock-Insulation-Co--Egypt-36441
Senior SEO Specialist,AssureNet -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-102139
Marketing Director,Credence -,Full TimeOn-site,"Hurghada, Red Sea, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-113760
HR Coordinator,smart work -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/smart work-Saudi Arabia-125535
Export Sales Manager,Hydro Metal -,Full TimeOn-site,"Abu Rawash, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Hydro Metal-Egypt-125646
Draftsman,Confidential -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/CkaD3P0NJpR2-Draftsman-Giza-Egypt
Head OF Internal Audit,Confidential -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Cs0nFVMQkaWh-Head-OF-Internal-Audit-Giza-Egypt
Project Manager (Civil Engineer),Confidential -,Full TimeOn-site,"Alsadat City, Monufya, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ttIsDjugiTb1-Project-Manager-Civil-Engineer-Monufya-Egypt
Remote Data Analyst & Processor,HIGHBASE TRADING W.L.L -,Full TimeRemote,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/HIGHBASE TRADING W.L.L-Egypt-112707
Sales Representatives,Ecotech -,Full TimeOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Ecotech-Egypt-125629
Instructors (Min 5 Years Exp.),CLS Learning Solutions -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/CLS-Learning-Solutions-Egypt-31930
Business Development Manager,Confidential -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qGHQlRwWBCob-Business-Development-Manager-Giza-Egypt
Graphic Designer,aladawy advanced system -,Full TimeOn-site,"Abdeen, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/aladawy advanced system-Egypt-125564
Senior Maintenance Engineer,ELDAHAN -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ELDAHAN-Egypt-42849
Sales Manager,Charisma Design -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Charisma-Design-Egypt-41338
Fresh Real Estate Sales,The Address Investments for Real Estate Consultancy -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The-Address-for-Realstate-Consultancy-Egypt-28523
Sales Specialistl,J&T Express Egypt -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/J-T-Express-Egypt-Egypt-64706
Sales Manager,Global Food Investment -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-23438
Construction QC Engineer,Zamil Steel Buildings Co -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Zamil-Steel-Buildings-Co-Egypt-12650
Project Coordinator,Fixcrowd -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Fixcrowd-Egypt-98611
Telesales Executive,Yalla -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Yalla-Egypt-88747
Partner Support Advisor,Property Finder Group -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/propertyfinder-Group-Egypt-7924
Assembly process Engineer,Groupe- Atlantic -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Groupe--Atlantic-Egypt-14909
Warehouse Supervisor,American Mattress -,Full TimeOn-site,"Badr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-23938
Business Development Manager – Real Estate,Creative Motion -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Creative-Motion-Egypt-18862
Sales Specialist,Confidential -,Full TimeOn-site,"Haram, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6XQbwKcbHhoM-Sales-Specialist-Giza-Egypt
Marketing Manager ( Yafel Development Egypt ),Horizon Trade -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-39683
Quality Engineer - QC/QA,Confidential -,Full TimeOn-site,"khanka, Qalubia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/meIau8Dn3sk3-Quality-Engineer---QCQA-Qalubia-Egypt
OD Specialist,Confidential -,Full TimeOn-site,"khanka, Qalubia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/wCWu46AYbWLi-OD-Specialist-Qalubia-Egypt
HR Officer (Yafel Development Egypt ),Horizon Trade -,Full TimeOn-site,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-39683
Accountant,American Mattress -,Full TimeOn-site,"Katameya, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-23938
Senior Sales Executive,INTELLEVO -,Full TimeHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/INTELLEVO-Egypt-113706
